番剧id,分数,评分人数,番剧名,番剧简介,播放次数,播放时间
419,9.7,4079,"""斩服少女""",本故事以被武力和恐怖支配的本能字学院为舞台，以为父报仇的转校生少女为中心， 围绕着在学园中“执牛耳者...,17450728,"""2013-10-03"""
5069,9.7,3930,"""齐木楠雄的灾难""",高中生·齐木楠雄是超能力者。心灵感应、念动力、透视、预知、瞬间移动、千里眼等，不论任何事情都自由自在...,51362716,"""2016-07-11"""
2680,9.7,3732,"""男子高中生的日常""",在一个普通的城市里，一班普通的男子高中生过著普通的日常生活。想像机动战士和冒险故事，放学后交女朋友的...,13367344,"""2012-01-09"""
6345,9.7,3133,"""终物语 下""",在3月13日，也就是大学入学考试的当天早上，阿良良木历被卧烟伊豆湖所杀。在死后世界等待着历的，正是八...,1595641,"""2017-08-12"""
21744,9.7,2958,"""三颗星彩色冒险""",上野公园里悄悄设立了一个总部。那里有三个国小女生——！没错，她们正是守护上野的正义团队“COLORS...,1883164,"""2018-01-07"""
1376,9.7,2847,"""家庭教师HITMAN REBORN!""",《家庭教師HITMAN REBORN!》是一部熱血動漫，故事圍繞彭格列（意大利黑手黨）第十代首領沢田...,21033493,"""2006-10-07"""
856,9.7,2531,"""GOSICK""",就读于拥有悠久庄严历史的圣玛格丽特学园的东方少年——久城一弥，某天在学园的温室内与一位身著华丽服装、...,4391362,"""2011-01-07"""
6509,9.7,2440,"""RWBY 第五季""",紧接第四季剧情,2741226,"""2017-10-14"""
75,9.7,2422,"""黑执事""",时值19世纪，在英国名门贵族凡多姆海伍家，有一位神秘、优雅、十全十美的执事，他就是“黑执事” 塞巴斯...,1199655,"""2008-10-02"""
1071,9.7,2289,"""狼与香辛料""",到处旅行靠贩卖一些小商品为生的商人罗伦斯，从因为收获祭而沸腾的帕斯罗村回来后，发现貌似有什么东西在自...,2179696,"""2008-01-08"""
5523,9.7,2190,"""3月的狮子""","独自居住在东京旧市街的17岁职业将棋棋士——桐山零。
他是个幼时就因为意外失去家人，怀抱着深沉孤独的...",10151399,"""2016-10-09"""
1064,9.7,1849,"""DARKER THAN BLACK -黑之契约者-""",某日，东京突然出现了异象——无法解析的领域“地狱门”。在那里，有着人们从未见过并持有着超能力的来访者...,2177457,"""2007-04-05"""
1072,9.7,1779,"""狼与香辛料 第二季""",到处旅行靠贩卖一些小商品为生的商人罗伦斯，从因为收获祭而沸腾的帕斯罗村回来后，发现貌似有什么东西在自...,1131445,"""2009-07-09"""
23677,9.7,1606,"""Thunderbolt Fantasy 东离剑游纪 生死一剑""",本作品由2部分组成，自小说《Thunderbolt Fantasy 东离剑游纪 外传》中收录的「杀无...,375364,"""2017-12-02"""
2809,9.7,1513,"""凉宫春日的消失""",圣诞节即将来临，SOS团火锅派对的活动拍板以后，阿虚就带着烦恼回家。第二天，阿虚如常上学，但他很快注...,645273,"""2010-02-06"""
5631,9.7,1491,"""同级生""",高中入学考试全科满分的秀才佐条利人，在女孩子中很有人气的乐队成员草壁光，大概是没有交集的两个男孩子。...,628348,"""2016-02-20"""
3258,9.7,1474,"""四畳半神话大系""",森见登美彦所著的小说「四畳半神话大系」于2010年TV动画化，播出档期为2010年4月，紧跟已于1月...,755198,"""2010-04-22"""
3554,9.7,1428,"""寒蝉鸣泣之时""","昭和58年的夏天，白天蝉的喧闹与傍晚茅蜩的合唱仿佛在欢迎今年早夏来临的6月，回荡在雏见泽。
雏见泽是...",4290726,"""2006-04-04"""
969,9.7,1380,"""会长是女仆大人！""",前身为男校的星华高中，学生会长美咲为了保护女学生，天天和旁若无人的男学生们战斗。然而，身为学生会长的...,11161835,"""2010-04-02"""
977,9.7,1373,"""吊带袜天使""",老牌动画公司GAINAX的最新原创动画，讲述了从天国派遣来的两位天使在地上作战的故事，以金发大小姐风...,4360782,"""2010-10-01"""
1293,9.7,1371,"""幸运星""",本片讲述的是一群喜爱动漫的高中女生们的日常生活。其中主角泉此方更是为了喜欢的东西会不惜一切的女孩子，...,4353121,"""2007-04-08"""
